"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","sample_type"
"2023-09-28","2023_09_28b_postTea230928",1,5,1,1899.13631,"check"
"2023-09-29","2023_09_29_preTea230929",1,5,1,2094.34695,"check"
"2023-09-29","2023_09_29_postTea230929",1,5,1,2094.34695,"check"
"2023-09-29","2023_09_29b_preTea230929",1,5,1,2117.4524,"check"
"2023-09-29","2023_09_29b_postTea230929",1,5,1,2117.4524,"check"
"2023-09-30","2023_09_30_preTea230930",1,5,1,2165.54943,"check"
"2023-09-30","2023_09_30_postTea20230930",1,5,1,2165.54943,"check"
"2023-10-01","2023_10_01_preTea231001",1,5,1,2273.78138,"check"
"2023-10-01","2023_10_01_postTea231001",1,5,1,2273.78138,"check"
"2023-10-02","2023_10_02_preTea231002",1,5,1,1957.60283,"check"
"2023-10-02","2023_10_02_postTea231002",1,5,1,1957.60283,"check"
"2023-12-13","2023_12_13_preTea231213",1,5,1,1785.6007,"check"
"2023-12-13","2023_12_13_postTea231213",1,5,1,1785.6007,"check"
"2023-12-18","2023_12_18_preTea",1,5,1,1738.10131,"check"
"2023-12-18","2023_12_18_postTea",1,5,1,1738.10131,"check"
"2023-12-19","2023_12_19_preTea231219",1,5,1,19234.33103,"check"
"2023-12-19","2023_12_19b_preTea231219",1,5,1,1915.76051,"check"
"2023-12-19","2023_12_19b_postTea231219",1,5,1,1915.76051,"check"
"2024-01-22","2024_01_22_preTea240122",1,5,1,1882.86485,"check"
"2024-01-22","2024_01_22_postTea240122",1,5,1,1882.86485,"check"
NA,"2024_05_07_preTea240507",1,5,1,2120.99553,"check"
NA,"2024_05_07_postTea240507",1,5,1,2120.99553,"check"
"2024-05-09","2024_05_09_preTea240509",1,5,1,1897.02096,"check"
"2024-05-09","2024_05_09_postTea240509",1,5,1,1897.02096,"check"
NA,"2024_05_10_preTea240510",1,5,1,2045.11617,"check"
NA,"2024_05_10_postTea240510",1,5,1,2045.11617,"check"
"2024-05-13","2024_05_13_preTea240513",1,5,1,1935.55592,"check"
"2024-05-13","2024_05_13_postTea240513",1,5,1,1935.55592,"check"
"2024-05-14","2024_05_14_preTea240514",1,5,1,1963.07841,"check"
"2024-05-14","2024_05_14_postTea240514",1,5,1,1963.07841,"check"
"2024-05-17","2024_05_17b_preTea240517",1,5,1,1818.38263,"check"
"2024-05-17","2024_05_17b_postTea240517",1,5,1,1818.38263,"check"
