"analysis_date","data_identifier","replicate_no","integration_time_s","dilution","RSU_area_1s","sample_type"
"2023-09-13","2023_09_13b_BLK202309132",1,5,1,1505.8354,"sblank"
"2023-09-13","2023_09_13b_BLK202309133",1,5,1,1505.8354,"sblank"
"2023-09-14","2023_09_14_BLK2309141",1,5,1,1426.66072,"sblank"
"2023-09-14","2023_09_14_BLK2309142",1,5,1,1426.66072,"sblank"
NA,"2023_09_15_BLK2309151",1,5,1,1443.77233,"sblank"
NA,"2023_09_15_BLK2309152",1,5,1,1443.77233,"sblank"
NA,"2023_09_15_BLK2309153",1,5,1,1443.77233,"sblank"
"2023-09-20","2023_09_20_BLK2309201",1,5,1,2091.15216,"sblank"
"2023-09-20","2023_09_20_BLK2309202",1,5,1,2091.15216,"sblank"
"2023-09-27","2023_09_27_BLK2309271",1,5,1,1971.46333,"sblank"
"2023-09-27","2023_09_27_BLK2309272",1,5,1,1971.46333,"sblank"
"2023-09-27","2023_09_27_BLK2309273",1,5,1,1971.46333,"sblank"
"2023-09-28","2023_09_28_BLK2309281",1,5,1,1930.44467,"sblank"
"2023-09-28","2023_09_28_BLK2309282",1,5,1,1930.44467,"sblank"
"2023-09-28","2023_09_28_BLK2309283",1,5,1,1930.44467,"sblank"
"2023-09-28","2023_09_28b_BLK2309281",1,5,1,1899.13631,"sblank"
"2023-09-28","2023_09_28b_BLK2309282",1,5,1,1899.13631,"sblank"
"2023-09-28","2023_09_28b_BLK2309283",1,5,1,1899.13631,"sblank"
"2023-09-29","2023_09_29_BLK2309291",1,5,1,2094.34695,"sblank"
"2023-09-29","2023_09_29_BLK2309292",1,5,1,2094.34695,"sblank"
"2023-09-29","2023_09_29_BLK2309293",1,5,1,2094.34695,"sblank"
"2023-09-29","2023_09_29b_BLK2309291",1,5,1,2117.4524,"sblank"
"2023-09-29","2023_09_29b_BLK2309292",1,5,1,2117.4524,"sblank"
"2023-09-29","2023_09_29b_BLK2309293",1,5,1,2117.4524,"sblank"
"2023-09-30","2023_09_30_BLK2309301",1,5,1,2165.54943,"sblank"
"2023-09-30","2023_09_30_BLK202309302",1,5,1,2165.54943,"sblank"
"2023-10-01","2023_10_01_BLK2310011",1,5,1,2273.78138,"sblank"
"2023-10-01","2023_10_01_BLK2310012",1,5,1,2273.78138,"sblank"
"2023-10-01","2023_10_01_BLK2310013",1,5,1,2273.78138,"sblank"
"2023-10-02","2023_10_02_BLK2310021",1,5,1,1957.60283,"sblank"
"2023-10-02","2023_10_02_BLK2310022",1,5,1,1957.60283,"sblank"
"2023-10-02","2023_10_02_BLK2310023",1,5,1,1957.60283,"sblank"
"2023-12-13","2023_12_13_BLK2312131",1,5,1,1785.6007,"sblank"
"2023-12-13","2023_12_13_BLK2312132",1,5,1,1785.6007,"sblank"
"2023-12-13","2023_12_13_BLK231213",1,5,1,1785.6007,"sblank"
"2023-12-18","2023_12_18_BLK2312181",1,5,1,1738.10131,"sblank"
"2023-12-18","2023_12_18_BLK2312182",1,5,1,1738.10131,"sblank"
"2023-12-18","2023_12_18_BLK2312183",1,5,1,1738.10131,"sblank"
"2023-12-19","2023_12_19_BLK2312191",1,5,1,19234.33103,"sblank"
"2023-12-19","2023_12_19b_BLK2312191",1,5,1,1915.76051,"sblank"
"2023-12-19","2023_12_19b_BLK2312192",1,5,1,1915.76051,"sblank"
"2023-12-19","2023_12_19b_BLK2312193",1,5,1,1915.76051,"sblank"
"2024-01-22","2024_01_22_BLK2401221",1,5,1,1882.86485,"sblank"
"2024-01-22","2024_01_22_BLK2401222",1,5,1,1882.86485,"sblank"
"2024-01-22","2024_01_22_BLK2401223",1,5,1,1882.86485,"sblank"
NA,"2024_05_07_BLK2405071",1,5,1,2120.99553,"sblank"
NA,"2024_05_07_BLK2405072",1,5,1,2120.99553,"sblank"
NA,"2024_05_07_BLK2405073",1,5,1,2120.99553,"sblank"
"2024-05-09","2024_05_09_BLK2405091",1,5,1,1897.02096,"sblank"
"2024-05-09","2024_05_09_BLK2405092",1,5,1,1897.02096,"sblank"
"2024-05-09","2024_05_09_BLK2405093",1,5,1,1897.02096,"sblank"
NA,"2024_05_10_BLK2405101",1,5,1,2045.11617,"sblank"
NA,"2024_05_10_BLK2405102",1,5,1,2045.11617,"sblank"
NA,"2024_05_10_BLK2405103",1,5,1,2045.11617,"sblank"
"2024-05-13","2024_05_13_BLK2405131",1,5,1,1935.55592,"sblank"
"2024-05-13","2024_05_13_BLK2405132",1,5,1,1935.55592,"sblank"
"2024-05-13","2024_05_13_BLK2405133",1,5,1,1935.55592,"sblank"
"2024-05-14","2024_05_14_BLK2405141",1,5,1,1963.07841,"sblank"
"2024-05-14","2024_05_14_BLK2405142",1,5,1,1963.07841,"sblank"
"2024-05-14","2024_05_14_BLK2405143",1,5,1,1963.07841,"sblank"
"2024-05-17","2024_05_17b_BLK2405171",1,5,1,1818.38263,"sblank"
"2024-05-17","2024_05_17b_BLK2405172",1,5,1,1818.38263,"sblank"
"2024-05-17","2024_05_17b_BLK2405173",1,5,1,1818.38263,"sblank"
